Year	Month	Date	Anomoly_Celcius
1913	10	1913-10-01	-.32
1913	11	1913-11-01	-.20
1913	12	1913-12-01	-.02
1914	1	1914-01-01	.04
1914	2	1914-02-01	-.09
1914	3	1914-03-01	-.24
1914	4	1914-04-01	-.29
1914	5	1914-05-01	-.21
1914	6	1914-06-01	-.25
1914	7	1914-07-01	-.23
1914	8	1914-08-01	-.16
1914	9	1914-09-01	-.16
1914	10	1914-10-01	-.03
1914	11	1914-11-01	-.14
1914	12	1914-12-01	-.03
1915	1	1915-01-01	-.20
1915	2	1915-02-01	-.03
1915	3	1915-03-01	-.09
1915	4	1915-04-01	.07
1915	5	1915-05-01	-.06
1915	6	1915-06-01	-.22
1915	7	1915-07-01	-.13
1915	8	1915-08-01	-.22
1915	9	1915-09-01	-.20
1915	10	1915-10-01	-.24
1915	11	1915-11-01	-.13
1915	12	1915-12-01	-.21
1916	1	1916-01-01	-.12
1916	2	1916-02-01	-.14
1916	3	1916-03-01	-.28
1916	4	1916-04-01	-.30
1916	5	1916-05-01	-.35
1916	6	1916-06-01	-.49
1916	7	1916-07-01	-.37
1916	8	1916-08-01	-.28
1916	9	1916-09-01	-.36
1916	10	1916-10-01	-.33
1916	11	1916-11-01	-.46
1916	12	1916-12-01	-.81
1917	1	1917-01-01	-.56
1917	2	1917-02-01	-.62
1917	3	1917-03-01	-.63
1917	4	1917-04-01	-.54
1917	5	1917-05-01	-.55
1917	6	1917-06-01	-.43
1917	7	1917-07-01	-.25
1917	8	1917-08-01	-.23
1917	9	1917-09-01	-.22
1917	10	1917-10-01	-.44
1917	11	1917-11-01	-.33
1917	12	1917-12-01	-.68
1918	1	1918-01-01	-.48
1918	2	1918-02-01	-.34
1918	3	1918-03-01	-.25
1918	4	1918-04-01	-.43
1918	5	1918-05-01	-.43
1918	6	1918-06-01	-.36
1918	7	1918-07-01	-.31
1918	8	1918-08-01	-.31
1918	9	1918-09-01	-.17
1918	10	1918-10-01	-.06
1918	11	1918-11-01	-.11
1918	12	1918-12-01	-.29
1919	1	1919-01-01	-.20
1919	2	1919-02-01	-.23
1919	3	1919-03-01	-.21
1919	4	1919-04-01	-.12
1919	5	1919-05-01	-.28
1919	6	1919-06-01	-.36
1919	7	1919-07-01	-.29
1919	8	1919-08-01	-.33
1919	9	1919-09-01	-.25
1919	10	1919-10-01	-.20
1919	11	1919-11-01	-.42
1919	12	1919-12-01	-.42
1920	1	1920-01-01	-.24
1920	2	1920-02-01	-.27
1920	3	1920-03-01	-.12
1920	4	1920-04-01	-.24
1920	5	1920-05-01	-.27
1920	6	1920-06-01	-.36
1920	7	1920-07-01	-.30
1920	8	1920-08-01	-.26
1920	9	1920-09-01	-.21
1920	10	1920-10-01	-.26
1920	11	1920-11-01	-.27
1920	12	1920-12-01	-.46
1921	1	1921-01-01	-.05
1921	2	1921-02-01	-.17
1921	3	1921-03-01	-.22
1921	4	1921-04-01	-.30
1921	5	1921-05-01	-.30
1921	6	1921-06-01	-.27
1921	7	1921-07-01	-.15
1921	8	1921-08-01	-.26
1921	9	1921-09-01	-.19
1921	10	1921-10-01	-.03
1921	11	1921-11-01	-.14
1921	12	1921-12-01	-.17
1922	1	1922-01-01	-.33
1922	2	1922-02-01	-.44
1922	3	1922-03-01	-.14
1922	4	1922-04-01	-.23
1922	5	1922-05-01	-.33
1922	6	1922-06-01	-.30
1922	7	1922-07-01	-.27
1922	8	1922-08-01	-.33
1922	9	1922-09-01	-.35
1922	10	1922-10-01	-.32
1922	11	1922-11-01	-.14
1922	12	1922-12-01	-.19
1923	1	1923-01-01	-.27
1923	2	1923-02-01	-.39
1923	3	1923-03-01	-.34
1923	4	1923-04-01	-.40
1923	5	1923-05-01	-.33
1923	6	1923-06-01	-.29
1923	7	1923-07-01	-.31
1923	8	1923-08-01	-.34
1923	9	1923-09-01	-.31
1923	10	1923-10-01	-.13
1923	11	1923-11-01	-.02
1923	12	1923-12-01	-.03
1924	1	1924-01-01	-.22
1924	2	1924-02-01	-.23
1924	3	1924-03-01	-.08
1924	4	1924-04-01	-.30
1924	5	1924-05-01	-.18
1924	6	1924-06-01	-.26
1924	7	1924-07-01	-.29
1924	8	1924-08-01	-.36
1924	9	1924-09-01	-.32
1924	10	1924-10-01	-.35
1924	11	1924-11-01	-.20
1924	12	1924-12-01	-.43
1925	1	1925-01-01	-.37
1925	2	1925-02-01	-.39
1925	3	1925-03-01	-.27
1925	4	1925-04-01	-.26
1925	5	1925-05-01	-.29
1925	6	1925-06-01	-.33
1925	7	1925-07-01	-.27
1925	8	1925-08-01	-.21
1925	9	1925-09-01	-.20
1925	10	1925-10-01	-.17
1925	11	1925-11-01	.06
1925	12	1925-12-01	.06
1926	1	1926-01-01	.21
1926	2	1926-02-01	.03
1926	3	1926-03-01	.12
1926	4	1926-04-01	-.13
1926	5	1926-05-01	-.23
1926	6	1926-06-01	-.26
1926	7	1926-07-01	-.27
1926	8	1926-08-01	-.13
1926	9	1926-09-01	-.14
1926	10	1926-10-01	-.11
1926	11	1926-11-01	-.06
1926	12	1926-12-01	-.29
1927	1	1927-01-01	-.27
1927	2	1927-02-01	-.17
1927	3	1927-03-01	-.39
1927	4	1927-04-01	-.30
